Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/10/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     564813  12/09",-159.92,DEBIT_CARD, ,,
DEBIT,11/13/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     275560  11/11",-1047.65,DEBIT_CARD, ,,
DEBIT,11/13/2018,"TARGET T-1224 200 Prom BRIDGEWATER NJ506155  11/11",-59.48,DEBIT_CARD, ,,
DEBIT,10/30/2018,"TRANS BRIDGE TOURS C CLINTON NJ              10/29",-153.50,DEBIT_CARD, ,,
DEBIT,10/29/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     565422  10/28",-109.89,DEBIT_CARD, ,,
DEBIT,09/26/2018,"LOWES #02552* FLEMINGTON NJ                  09/25",211.12,DEBIT_CARD, ,,
DEBIT,09/25/2018,"LOWE'S #2552 FLEMINGTON NJ           492601  09/25",-211.12,DEBIT_CARD, ,,
DEBIT,09/25/2018,"LOWE'S #2552 FLEMINGTON NJ           090999  09/25",-211.12,DEBIT_CARD, ,,
DEBIT,09/10/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     883738  09/08",-266.02,DEBIT_CARD, ,,
DEBIT,08/29/2018,"COSTCO WHSE #1236 FLEMINGTON NJ      541427  08/29",-319.86,DEBIT_CARD, ,,
DEBIT,08/27/2018,"COSTCO WHSE #1236 FLEMINGTON NJ      420597  08/26",-251.09,DEBIT_CARD, ,,
DEBIT,08/06/2018,"COSTCO WHSE #1236 FLEMINGTON NJ      576192  08/06",-58.04,DEBIT_CARD, ,,
DEBIT,06/18/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     228309  06/16",-97.23,DEBIT_CARD, ,,
DEBIT,06/11/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     298955  06/09",-71.25,DEBIT_CARD, ,,
DEBIT,06/04/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     421447  06/03",-35.19,DEBIT_CARD, ,,
DEBIT,05/14/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     467291  05/13",-182.52,DEBIT_CARD, ,,
DEBIT,05/07/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     200203  05/06",-190.02,DEBIT_CARD, ,,
DEBIT,04/23/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     469732  04/21",-118.64,DEBIT_CARD, ,,
DEBIT,03/30/2018,"COSTCO WHSE #1236 FLEMINGTON NJ      498703  03/30",-276.92,DEBIT_CARD, ,,
DEBIT,03/26/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     290417  03/24",-133.52,DEBIT_CARD, ,,
DEBIT,03/26/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     887198  03/24",-34.98,DEBIT_CARD, ,,
DEBIT,03/19/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     449848  03/18",-62.42,DEBIT_CARD, ,,
DEBIT,03/12/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     470189  03/11",-79.90,DEBIT_CARD, ,,
DEBIT,03/05/2018,"COSTCO WHSE #0322 BRIDGEWATER NJ     868874  03/03",-203.57,DEBIT_CARD, ,,
