Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,12/31/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",13260.00,ACH_CREDIT, ,,
CREDIT,12/14/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",3120.00,ACH_CREDIT, ,,
CREDIT,11/30/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",10920.00,ACH_CREDIT, ,,
CREDIT,10/31/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",18720.00,ACH_CREDIT, ,,
CREDIT,10/15/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",23400.00,ACH_CREDIT, ,,
CREDIT,09/18/2018,"NEW YORK LIFE    CABS                       PPD ID: 9301533900",100.00,ACH_CREDIT, ,,
CREDIT,09/13/2018,"NEW YORK LIFE    CABS                       PPD ID: 9301533900",30.00,ACH_CREDIT, ,,
CREDIT,09/11/2018,"NEW YORK LIFE    CABS                       PPD ID: 9301533900",126.00,ACH_CREDIT, ,,
CREDIT,08/31/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",3900.00,ACH_CREDIT, ,,
CREDIT,08/15/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",7020.00,ACH_CREDIT, ,,
CREDIT,07/31/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",11700.00,ACH_CREDIT, ,,
CREDIT,07/13/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",3900.00,ACH_CREDIT, ,,
CREDIT,07/02/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",7020.00,ACH_CREDIT, ,,
CREDIT,06/15/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",11700.00,ACH_CREDIT, ,,
CREDIT,05/31/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",7800.00,ACH_CREDIT, ,,
CREDIT,05/15/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",7800.00,ACH_CREDIT, ,,
CREDIT,04/30/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",7020.00,ACH_CREDIT, ,,
CREDIT,04/13/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",7800.00,ACH_CREDIT, ,,
CREDIT,03/30/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",7020.00,ACH_CREDIT, ,,
CREDIT,03/15/2018,"MOMENTUM RESOURC PAYROLL                    PPD ID: 1223615098",18720.00,ACH_CREDIT, ,,
